,agentura,období,vyberte stranu,vážený průměr,party_average,size,model,agentura1
187,Data Collect,týd 23/18,ANO,0.3016173391189089,ANO,1,30.2,vážený model
188,Ipsos,týd 23/18,ANO,0.3016173391189089,ANO,1,30.2,vážený model
189,Kantar,týd 23/18,ANO,0.3016173391189089,ANO,1,30.2,vážený model
190,Median,týd 23/18,ANO,0.3016173391189089,ANO,1,30.2,vážený model
191,STEM,týd 23/18,ANO,0.3016173391189089,ANO,1,30.2,vážený model
192,CVVM,týd 24/18,ANO,0.30208615314708814,ANO,1,30.2,vážený model
193,Data Collect,týd 24/18,ANO,0.30208615314708814,ANO,1,30.2,vážený model
194,Ipsos,týd 24/18,ANO,0.30208615314708814,ANO,1,30.2,vážený model
195,Kantar,týd 24/18,ANO,0.30208615314708814,ANO,1,30.2,vážený model
196,Median,týd 24/18,ANO,0.30208615314708814,ANO,1,30.2,vážený model
197,STEM,týd 24/18,ANO,0.30208615314708814,ANO,1,30.2,vážený model
198,CVVM,týd 25/18,ANO,0.30272856295631184,ANO,1,30.3,vážený model
199,Data Collect,týd 25/18,ANO,0.30272856295631184,ANO,1,30.3,vážený model
200,Ipsos,týd 25/18,ANO,0.30272856295631184,ANO,1,30.3,vážený model
201,Kantar,týd 25/18,ANO,0.30272856295631184,ANO,1,30.3,vážený model
202,Median,týd 25/18,ANO,0.30272856295631184,ANO,1,30.3,vážený model
203,STEM,týd 25/18,ANO,0.30272856295631184,ANO,1,30.3,vážený model
204,CVVM,týd 26/18,ANO,0.3024957244830055,ANO,1,30.2,vážený model
205,Data Collect,týd 26/18,ANO,0.3024957244830055,ANO,1,30.2,vážený model
206,Ipsos,týd 26/18,ANO,0.3024957244830055,ANO,1,30.2,vážený model
207,Kantar,týd 26/18,ANO,0.3024957244830055,ANO,1,30.2,vážený model
208,Median,týd 26/18,ANO,0.3024957244830055,ANO,1,30.2,vážený model
209,STEM,týd 26/18,ANO,0.3024957244830055,ANO,1,30.2,vážený model
210,CVVM,týd 27/18,ANO,0.3021865728480344,ANO,1,30.2,vážený model
211,Data Collect,týd 27/18,ANO,0.3021865728480344,ANO,1,30.2,vážený model
212,Ipsos,týd 27/18,ANO,0.3021865728480344,ANO,1,30.2,vážený model
213,Kantar,týd 27/18,ANO,0.3021865728480344,ANO,1,30.2,vážený model
214,Median,týd 27/18,ANO,0.3021865728480344,ANO,1,30.2,vážený model
215,STEM,týd 27/18,ANO,0.3021865728480344,ANO,1,30.2,vážený model
216,CVVM,týd 28/18,ANO,0.30188108374832784,ANO,1,30.2,vážený model
217,Data Collect,týd 28/18,ANO,0.30188108374832784,ANO,1,30.2,vážený model
218,Ipsos,týd 28/18,ANO,0.30188108374832784,ANO,1,30.2,vážený model
219,Kantar,týd 28/18,ANO,0.30188108374832784,ANO,1,30.2,vážený model
220,Median,týd 28/18,ANO,0.30188108374832784,ANO,1,30.2,vážený model
221,STEM,týd 28/18,ANO,0.30188108374832784,ANO,1,30.2,vážený model
222,CVVM,týd 29/18,ANO,0.3016175216705389,ANO,1,30.2,vážený model
223,Data Collect,týd 29/18,ANO,0.3016175216705389,ANO,1,30.2,vážený model
224,Ipsos,týd 29/18,ANO,0.3016175216705389,ANO,1,30.2,vážený model
225,Kantar,týd 29/18,ANO,0.3016175216705389,ANO,1,30.2,vážený model
226,Median,týd 29/18,ANO,0.3016175216705389,ANO,1,30.2,vážený model
227,STEM,týd 29/18,ANO,0.3016175216705389,ANO,1,30.2,vážený model
228,CVVM,týd 30/18,ANO,0.30133657312251566,ANO,1,30.1,vážený model
229,Data Collect,týd 30/18,ANO,0.30133657312251566,ANO,1,30.1,vážený model
230,Ipsos,týd 30/18,ANO,0.30133657312251566,ANO,1,30.1,vážený model
231,Kantar,týd 30/18,ANO,0.30133657312251566,ANO,1,30.1,vážený model
232,Median,týd 30/18,ANO,0.30133657312251566,ANO,1,30.1,vážený model
233,STEM,týd 30/18,ANO,0.30133657312251566,ANO,1,30.1,vážený model
234,CVVM,týd 31/18,ANO,0.30105198980703507,ANO,1,30.1,vážený model
235,Data Collect,týd 31/18,ANO,0.30105198980703507,ANO,1,30.1,vážený model
236,Ipsos,týd 31/18,ANO,0.30105198980703507,ANO,1,30.1,vážený model
237,Kantar,týd 31/18,ANO,0.30105198980703507,ANO,1,30.1,vážený model
238,Median,týd 31/18,ANO,0.30105198980703507,ANO,1,30.1,vážený model
239,STEM,týd 31/18,ANO,0.30105198980703507,ANO,1,30.1,vážený model
240,CVVM,týd 32/18,ANO,0.3007782415121997,ANO,1,30.1,vážený model
241,Data Collect,týd 32/18,ANO,0.3007782415121997,ANO,1,30.1,vážený model
242,Ipsos,týd 32/18,ANO,0.3007782415121997,ANO,1,30.1,vážený model
243,Kantar,týd 32/18,ANO,0.3007782415121997,ANO,1,30.1,vážený model
244,Median,týd 32/18,ANO,0.3007782415121997,ANO,1,30.1,vážený model
245,STEM,týd 32/18,ANO,0.3007782415121997,ANO,1,30.1,vážený model
246,CVVM,týd 33/18,ANO,0.3003423993344145,ANO,1,30.0,vážený model
247,Data Collect,týd 33/18,ANO,0.3003423993344145,ANO,1,30.0,vážený model
248,Ipsos,týd 33/18,ANO,0.3003423993344145,ANO,1,30.0,vážený model
249,Kantar,týd 33/18,ANO,0.3003423993344145,ANO,1,30.0,vážený model
250,Median,týd 33/18,ANO,0.3003423993344145,ANO,1,30.0,vážený model
251,STEM,týd 33/18,ANO,0.3003423993344145,ANO,1,30.0,vážený model
252,CVVM,týd 34/18,ANO,0.30062652910989146,ANO,1,30.1,vážený model
253,Data Collect,týd 34/18,ANO,0.30062652910989146,ANO,1,30.1,vážený model
254,Ipsos,týd 34/18,ANO,0.30062652910989146,ANO,1,30.1,vážený model
255,Kantar,týd 34/18,ANO,0.30062652910989146,ANO,1,30.1,vážený model
256,Median,týd 34/18,ANO,0.30062652910989146,ANO,1,30.1,vážený model
257,STEM,týd 34/18,ANO,0.30062652910989146,ANO,1,30.1,vážený model
258,CVVM,týd 35/18,ANO,0.3009108489543582,ANO,1,30.1,vážený model
259,Data Collect,týd 35/18,ANO,0.3009108489543582,ANO,1,30.1,vážený model
260,Ipsos,týd 35/18,ANO,0.3009108489543582,ANO,1,30.1,vážený model
261,Kantar,týd 35/18,ANO,0.3009108489543582,ANO,1,30.1,vážený model
262,Median,týd 35/18,ANO,0.3009108489543582,ANO,1,30.1,vážený model
263,STEM,týd 35/18,ANO,0.3009108489543582,ANO,1,30.1,vážený model
264,CVVM,týd 36/18,ANO,0.3011810925205643,ANO,1,30.1,vážený model
265,Data Collect,týd 36/18,ANO,0.3011810925205643,ANO,1,30.1,vážený model
266,Ipsos,týd 36/18,ANO,0.3011810925205643,ANO,1,30.1,vážený model
267,Kantar,týd 36/18,ANO,0.3011810925205643,ANO,1,30.1,vážený model
268,Median,týd 36/18,ANO,0.3011810925205643,ANO,1,30.1,vážený model
269,STEM,týd 36/18,ANO,0.3011810925205643,ANO,1,30.1,vážený model
270,CVVM,týd 37/18,ANO,0.3015067871535975,ANO,1,30.2,vážený model
271,Data Collect,týd 37/18,ANO,0.3015067871535975,ANO,1,30.2,vážený model
272,Ipsos,týd 37/18,ANO,0.3015067871535975,ANO,1,30.2,vážený model
273,Kantar,týd 37/18,ANO,0.3015067871535975,ANO,1,30.2,vážený model
274,Median,týd 37/18,ANO,0.3015067871535975,ANO,1,30.2,vážený model
275,STEM,týd 37/18,ANO,0.3015067871535975,ANO,1,30.2,vážený model
276,CVVM,týd 38/18,ANO,0.3020772004987824,ANO,1,30.2,vážený model
277,Data Collect,týd 38/18,ANO,0.3020772004987824,ANO,1,30.2,vážený model
278,Ipsos,týd 38/18,ANO,0.3020772004987824,ANO,1,30.2,vážený model
279,Kantar,týd 38/18,ANO,0.3020772004987824,ANO,1,30.2,vážený model
280,Median,týd 38/18,ANO,0.3020772004987824,ANO,1,30.2,vážený model
281,STEM,týd 38/18,ANO,0.3020772004987824,ANO,1,30.2,vážený model
282,CVVM,týd 39/18,ANO,0.3026442087533697,ANO,1,30.3,vážený model
283,Data Collect,týd 39/18,ANO,0.3026442087533697,ANO,1,30.3,vážený model
284,Ipsos,týd 39/18,ANO,0.3026442087533697,ANO,1,30.3,vážený model
285,Kantar,týd 39/18,ANO,0.3026442087533697,ANO,1,30.3,vážený model
286,Median,týd 39/18,ANO,0.3026442087533697,ANO,1,30.3,vážený model
287,STEM,týd 39/18,ANO,0.3026442087533697,ANO,1,30.3,vážený model
288,CVVM,týd 40/18,ANO,0.3031712770106298,ANO,1,30.3,vážený model
289,Data Collect,týd 40/18,ANO,0.3031712770106298,ANO,1,30.3,vážený model
290,Ipsos,týd 40/18,ANO,0.3031712770106298,ANO,1,30.3,vážený model
291,Kantar,týd 40/18,ANO,0.3031712770106298,ANO,1,30.3,vážený model
292,Median,týd 40/18,ANO,0.3031712770106298,ANO,1,30.3,vážený model
293,STEM,týd 40/18,ANO,0.3031712770106298,ANO,1,30.3,vážený model
294,CVVM,týd 41/18,ANO,0.30374053641865245,ANO,1,30.4,vážený model
295,Data Collect,týd 41/18,ANO,0.30374053641865245,ANO,1,30.4,vážený model
296,Ipsos,týd 41/18,ANO,0.30374053641865245,ANO,1,30.4,vážený model
297,Kantar,týd 41/18,ANO,0.30374053641865245,ANO,1,30.4,vážený model
298,Median,týd 41/18,ANO,0.30374053641865245,ANO,1,30.4,vážený model
299,STEM,týd 41/18,ANO,0.30374053641865245,ANO,1,30.4,vážený model
300,CVVM,týd 42/18,ANO,0.3048877537740236,ANO,1,30.5,vážený model
301,Data Collect,týd 42/18,ANO,0.3048877537740236,ANO,1,30.5,vážený model
302,Ipsos,týd 42/18,ANO,0.3048877537740236,ANO,1,30.5,vážený model
303,Kantar,týd 42/18,ANO,0.3048877537740236,ANO,1,30.5,vážený model
304,Median,týd 42/18,ANO,0.3048877537740236,ANO,1,30.5,vážený model
305,STEM,týd 42/18,ANO,0.3048877537740236,ANO,1,30.5,vážený model
306,CVVM,týd 43/18,ANO,0.3063396819081982,ANO,1,30.6,vážený model
307,Data Collect,týd 43/18,ANO,0.3063396819081982,ANO,1,30.6,vážený model
308,Ipsos,týd 43/18,ANO,0.3063396819081982,ANO,1,30.6,vážený model
309,Kantar,týd 43/18,ANO,0.3063396819081982,ANO,1,30.6,vážený model
310,Median,týd 43/18,ANO,0.3063396819081982,ANO,1,30.6,vážený model
311,STEM,týd 43/18,ANO,0.3063396819081982,ANO,1,30.6,vážený model
312,CVVM,týd 44/18,ANO,0.30786896188210994,ANO,1,30.8,vážený model
313,Data Collect,týd 44/18,ANO,0.30786896188210994,ANO,1,30.8,vážený model
314,Ipsos,týd 44/18,ANO,0.30786896188210994,ANO,1,30.8,vážený model
315,Kantar,týd 44/18,ANO,0.30786896188210994,ANO,1,30.8,vážený model
316,Median,týd 44/18,ANO,0.30786896188210994,ANO,1,30.8,vážený model
317,STEM,týd 44/18,ANO,0.30786896188210994,ANO,1,30.8,vážený model
318,CVVM,týd 45/18,ANO,0.3093719497442407,ANO,1,30.9,vážený model
319,Data Collect,týd 45/18,ANO,0.3093719497442407,ANO,1,30.9,vážený model
320,Ipsos,týd 45/18,ANO,0.3093719497442407,ANO,1,30.9,vážený model
321,Kantar,týd 45/18,ANO,0.3093719497442407,ANO,1,30.9,vážený model
322,Median,týd 45/18,ANO,0.3093719497442407,ANO,1,30.9,vážený model
323,STEM,týd 45/18,ANO,0.3093719497442407,ANO,1,30.9,vážený model
324,CVVM,týd 46/18,ANO,0.3112009297530718,ANO,1,31.1,vážený model
325,Data Collect,týd 46/18,ANO,0.3112009297530718,ANO,1,31.1,vážený model
326,Ipsos,týd 46/18,ANO,0.3112009297530718,ANO,1,31.1,vážený model
327,Kantar,týd 46/18,ANO,0.3112009297530718,ANO,1,31.1,vážený model
328,Median,týd 46/18,ANO,0.3112009297530718,ANO,1,31.1,vážený model
329,STEM,týd 46/18,ANO,0.3112009297530718,ANO,1,31.1,vážený model
330,CVVM,týd 47/18,ANO,0.31266005016986315,ANO,1,31.3,vážený model
331,Data Collect,týd 47/18,ANO,0.31266005016986315,ANO,1,31.3,vážený model
332,Ipsos,týd 47/18,ANO,0.31266005016986315,ANO,1,31.3,vážený model
